date,region,resident,nonresident,total
2020-03-16,Anchorage,0,0,0
2020-03-17,Anchorage,2,0,2
2020-03-18,Anchorage,2,0,2
2020-03-19,Anchorage,0,0,0
2020-03-20,Anchorage,0,0,0
2020-03-21,Anchorage,2,0,2
2020-03-22,Anchorage,9,0,9
2020-03-23,Anchorage,1,0,1
2020-03-24,Anchorage,4,0,4
2020-03-25,Anchorage,9,0,9
2020-03-26,Anchorage,5,0,5
2020-03-27,Anchorage,10,0,10
2020-03-28,Anchorage,14,0,14
2020-03-29,Anchorage,2,0,2
2020-03-30,Anchorage,2,0,2
2020-03-31,Anchorage,3,0,3
2020-04-01,Anchorage,2,0,2
2020-04-02,Anchorage,7,0,7
2020-04-03,Anchorage,7,0,7
2020-04-04,Anchorage,4,0,4
2020-04-05,Anchorage,3,0,3
2020-04-06,Anchorage,10,0,10
2020-04-07,Anchorage,6,0,6
2020-04-08,Anchorage,5,1,6
2020-04-09,Anchorage,3,0,3
2020-04-10,Anchorage,9,1,10
2020-04-11,Anchorage,6,0,6
2020-04-12,Anchorage,4,0,4
2020-04-13,Anchorage,5,0,5
2020-04-14,Anchorage,3,0,3
2020-04-15,Anchorage,4,0,4
2020-04-16,Anchorage,7,0,7
2020-04-17,Anchorage,1,0,1
2020-04-18,Anchorage,3,0,3
2020-04-19,Anchorage,1,0,1
2020-04-20,Anchorage,5,0,5
2020-04-21,Anchorage,4,0,4
2020-04-22,Anchorage,2,0,2
2020-04-23,Anchorage,2,0,2
2020-04-25,Anchorage,0,0,0
2020-04-26,Anchorage,3,0,3
2020-04-27,Anchorage,4,0,4
2020-04-28,Anchorage,4,0,4
2020-04-30,Anchorage,6,0,6
2020-05-01,Anchorage,0,0,0
2020-05-02,Anchorage,2,0,2
2020-05-03,Anchorage,2,0,2
2020-05-04,Anchorage,1,0,1
2020-05-05,Anchorage,0,0,0
2020-05-06,Anchorage,1,0,1
2020-05-07,Anchorage,3,0,3
2020-05-08,Anchorage,0,1,1
2020-05-09,Anchorage,0,0,0
2020-05-10,Anchorage,0,0,0
2020-05-11,Anchorage,0,0,0
2020-05-12,Anchorage,1,0,1
2020-05-13,Anchorage,4,0,4
2020-05-14,Anchorage,1,1,2
2020-05-15,Anchorage,2,0,2
2020-05-16,Anchorage,2,1,3
2020-05-17,Anchorage,2,0,2
2020-05-19,Anchorage,1,2,3
2020-05-21,Anchorage,0,0,0
2020-05-22,Anchorage,0,0,0
2020-05-24,Anchorage,0,0,0
2020-05-25,Anchorage,1,2,3
2020-05-26,Anchorage,0,0,0
2020-05-27,Anchorage,4,0,4
2020-05-28,Anchorage,2,0,2
2020-05-29,Anchorage,1,0,1
2020-05-30,Anchorage,16,0,16
2020-05-31,Anchorage,3,0,3
2020-06-01,Anchorage,15,0,15
2020-06-02,Anchorage,7,1,8
2020-06-03,Anchorage,6,1,7
2020-06-04,Anchorage,6,2,8
2020-06-05,Anchorage,2,2,4
2020-06-06,Anchorage,6,1,7
2020-06-07,Anchorage,10,0,10
2020-06-08,Anchorage,6,0,6
2020-06-09,Anchorage,9,0,9
2020-06-10,Anchorage,4,6,10
2020-06-11,Anchorage,6,3,9
2020-06-12,Anchorage,8,0,8
2020-06-13,Anchorage,3,2,5
2020-06-14,Anchorage,1,0,1
2020-06-15,Anchorage,7,1,8
2020-06-16,Anchorage,4,0,4
2020-06-17,Anchorage,2,4,6
2020-06-18,Anchorage,7,2,9
2020-06-19,Anchorage,8,0,8
2020-06-20,Anchorage,6,1,7
2020-06-21,Anchorage,3,1,4
2020-06-22,Anchorage,9,1,10
2020-06-23,Anchorage,8,1,9
2020-06-24,Anchorage,7,2,9
2020-06-25,Anchorage,6,3,9
2020-06-26,Anchorage,10,2,12
2020-06-27,Anchorage,15,0,15
2020-06-28,Anchorage,7,1,8
2020-06-29,Anchorage,22,1,23
2020-06-30,Anchorage,17,1,18
2020-07-01,Anchorage,15,1,16
2020-07-02,Anchorage,21,2,23
2020-07-03,Anchorage,31,2,33
2020-07-04,Anchorage,22,1,23
2020-07-05,Anchorage,19,0,19
2020-07-06,Anchorage,12,5,17
2020-07-07,Anchorage,19,4,23
2020-07-08,Anchorage,23,2,25
2020-07-09,Anchorage,23,1,24
2020-07-10,Anchorage,29,5,34
2020-07-11,Anchorage,34,6,40
2020-07-12,Anchorage,32,9,41
2020-07-13,Anchorage,19,11,30
2020-07-14,Anchorage,36,4,40
2020-07-15,Anchorage,22,3,25
2020-07-16,Anchorage,23,0,23
2020-07-17,Anchorage,33,4,37
2020-07-18,Anchorage,43,0,43
2020-07-19,Anchorage,50,2,52
2020-07-20,Anchorage,66,2,68
2020-07-21,Anchorage,43,3,46
2020-07-22,Anchorage,31,2,33
2020-07-23,Anchorage,33,1,34
2020-07-24,Anchorage,50,2,52
2020-07-25,Anchorage,158,2,160
2020-07-26,Anchorage,62,9,71
2020-07-27,Anchorage,78,4,82
2020-07-28,Anchorage,55,1,56
2020-07-29,Anchorage,42,2,44
2020-07-30,Anchorage,76,0,76
2020-07-31,Anchorage,108,3,111
2020-08-01,Anchorage,102,4,106
2020-08-02,Anchorage,40,1,41
2020-08-03,Anchorage,43,2,45
2020-08-04,Anchorage,39,2,41
2020-08-05,Anchorage,27,0,27
2020-08-06,Anchorage,31,1,32
2020-08-07,Anchorage,56,1,57
2020-08-08,Anchorage,61,0,61
2020-08-09,Anchorage,42,0,42
2020-08-10,Anchorage,27,1,28
2020-08-11,Anchorage,38,4,42
2020-08-12,Anchorage,33,0,33
2020-08-13,Anchorage,77,1,78
2020-08-14,Anchorage,34,0,34
2020-08-15,Anchorage,54,0,54
2020-08-16,Anchorage,36,0,36
2020-08-17,Anchorage,24,0,24
2020-08-18,Anchorage,37,0,37
2020-08-19,Anchorage,44,0,44
2020-08-20,Anchorage,30,1,31
2020-08-21,Anchorage,42,2,44
2020-08-22,Anchorage,30,0,30
2020-08-23,Anchorage,44,1,45
2020-08-24,Anchorage,16,0,16
2020-08-25,Anchorage,27,0,27
2020-08-26,Anchorage,44,4,48
2020-08-27,Anchorage,77,1,78
2020-08-28,Anchorage,64,2,66
2020-08-29,Anchorage,8,1,9
2020-08-30,Anchorage,28,1,29
2020-08-31,Anchorage,18,0,18
2020-09-01,Anchorage,32,0,32
2020-09-02,Anchorage,47,0,47
2020-09-03,Anchorage,82,1,83
2020-09-04,Anchorage,50,2,52
2020-09-05,Anchorage,42,0,42
2020-09-06,Anchorage,13,0,13
2020-09-07,Anchorage,17,0,17
2020-09-08,Anchorage,33,0,33
2020-09-09,Anchorage,57,1,58
2020-09-10,Anchorage,36,4,40
2020-09-11,Anchorage,63,0,63
2020-09-12,Anchorage,31,0,31
2020-09-13,Anchorage,48,1,49
2020-09-14,Anchorage,23,0,23
2020-09-15,Anchorage,21,0,21
2020-09-16,Anchorage,49,0,49
2020-09-17,Anchorage,71,2,73
2020-09-18,Anchorage,61,1,62
2020-09-19,Anchorage,50,0,50
2020-09-20,Anchorage,35,0,35
2020-09-21,Anchorage,40,4,44
2020-09-22,Anchorage,43,1,44
2020-09-23,Anchorage,73,8,81
2020-09-24,Anchorage,73,1,74
2020-09-25,Anchorage,71,0,71
2020-09-26,Anchorage,59,1,60
2020-09-27,Anchorage,84,2,86
2020-09-28,Anchorage,67,2,69
2020-09-29,Anchorage,60,2,62
2020-09-30,Anchorage,66,1,67
2020-10-01,Anchorage,65,1,66
2020-10-02,Anchorage,77,1,78
2020-10-03,Anchorage,79,2,81
2020-10-04,Anchorage,117,1,118
2020-10-05,Anchorage,70,1,71
2020-10-06,Anchorage,61,1,62
2020-10-07,Anchorage,59,1,60
2020-10-08,Anchorage,92,2,94
2020-10-09,Anchorage,141,1,142
2020-10-10,Anchorage,132,1,133
2020-10-11,Anchorage,107,2,109
2020-10-12,Anchorage,71,2,73
2020-10-13,Anchorage,106,12,118
2020-10-14,Anchorage,80,1,81
2020-10-15,Anchorage,110,1,111
2020-10-16,Anchorage,106,2,108
2020-10-17,Anchorage,93,3,96
2020-10-18,Anchorage,93,0,93
2020-10-19,Anchorage,120,2,122
2020-10-20,Anchorage,149,0,149
2020-10-21,Anchorage,59,0,59
2020-10-22,Anchorage,150,1,151
2020-10-23,Anchorage,186,0,186
2020-10-24,Anchorage,210,0,210
2020-10-25,Anchorage,157,1,158
2020-10-26,Anchorage,167,0,167
2020-10-27,Anchorage,183,3,186
2020-10-28,Anchorage,165,2,167
2020-10-29,Anchorage,214,1,215
2020-10-30,Anchorage,257,4,261
2020-10-31,Anchorage,162,0,162
2020-11-01,Anchorage,181,1,182
2020-11-02,Anchorage,201,0,201
2020-11-03,Anchorage,173,3,176
2020-11-04,Anchorage,175,0,175
2020-11-05,Anchorage,320,1,321
2020-11-06,Anchorage,343,4,347
2020-11-07,Anchorage,284,2,286
2020-11-08,Anchorage,228,1,229
2020-11-09,Anchorage,261,1,262
